what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1401797294483
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1401797294484
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1401797294484
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1401797294484
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1401797294485
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1401797294485
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401797294485
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1401797294486
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401797294486
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1401797294486
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1401797294486
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1401797294487
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1401797294487
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1401797294487
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1401797294487
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1401797294487
os,sysinfo,,,"win32",1401797294489
arch,sysinfo,,,"x86",1401797294489
ws,sysinfo,,,"win32",1401797294489
locale,sysinfo,,,"de_DE",1401797294489
processors,sysinfo,,,"4",1401797294489
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401797294489
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1401797294489
java.specification.name,sysinfo,,,"Java Platform API Specification",1401797294489
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797294489
java.specification.version,sysinfo,,,"1.6",1401797294489
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797294489
java.version,sysinfo,,,"1.6.0_23",1401797294489
java.vm.info,sysinfo,,,"mixed mode",1401797294489
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401797294489
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401797294489
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797294489
java.vm.specification.version,sysinfo,,,"1.0",1401797294489
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797294489
java.vm.version,sysinfo,,,"19.0-b09",1401797294489
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401797295694
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1401797295707
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1401797297016
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1401797297563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797297617
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1401797299518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797299540
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1401797299544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401797299544
started,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1401797303446
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1401797303710
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1401797303714
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1401797303715
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1401797303716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797303808
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1401797346229
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1401797346260
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1401797347327
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1401797347945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797352363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797356790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797396027
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797398742
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1401797398836
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1401797398839
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1401797398939
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1401797398940
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1401797398940
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1401797398940
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1401797398940
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1401797398940
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1401797398940
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1401797398940
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1401797398940
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1401797398941
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1401797398941
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1401797398942
